TANGGAL,Bandar_Buat,Limau_Manih_UNAND,Lubuk_Minturun,Nanggalo,Parak_Karakah,Stamar_Teluk_Bayur,Tambang_Semen_Padang,Teluk_Bayur,Water_Plan_Semen_Padang
2017-09-04,8.052115249456074,11.493007874000812,14.0,36.5,12.2,7.76654544659737,17.71122057755705,21.394586444433838,10.688025158639643
2017-09-05,8.055513480517062,9.653131493404347,7.0,1.0,26.5,19.336346898871657,15.840999914185977,5.479199970832506,22.777560951046247
2017-09-06,23.728517638991438,17.263808219400754,20.0,25.0,19.2,14.347841137592267,20.58539234578971,14.346723036107392,31.81463124616159
2017-09-07,6.305130219505872,33.99025845137411,0.0,3.0,15.4,22.963432451655652,11.01276577661699,23.722250774002983,17.315104443114215
2017-09-08,0.0,4.1,0.0,0.0,0.0,4.2,0.0,2.0,0.0
2017-09-09,42.35130334389459,18.3873927561567,32.0,12.5,6.2,18.92603043736836,7.059910374780814,9.762011598940205,9.988013286771267
2017-09-10,185.2553818838883,151.54902116301798,90.0,169.5,249.3,112.84874998519065,185.09919337049976,206.87409025430466,125.62855491497616
2017-09-11,4.0,4.941176470588573,0.0,1.0,5.0,7.193670649189696,19.0,10.0,14.0
2017-09-12,0.0,4.1,0.0,0.0,0.0,4.2,0.0,2.0,0.0
2017-09-13,19.305383690329766,33.84809816145406,7.0,25.0,45.5,22.19212913442463,46.07235761255961,30.23503125026058,35.0026162056759
2017-09-14,0.0,4.1,0.0,0.0,0.0,4.2,0.0,2.0,0.0
2017-09-15,0.0,3.578947368421539,0.0,2.0,2.4,30.483345557105896,4.420681846538948,3.7210526315788868,3.26315789473669
2017-09-16,3.6499022900954623,2.4360802380968005,0.0,3.5,7.0,30.021398244091056,8.977597838103069,3.418038174562533,9.462800428017026
2017-09-17,4.438095238095431,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-18,0.0,0.8,0.0,0.0,0.7,3.0,0.0,1.1400000000000001,0.0
2017-09-19,0.8207502277800426,2.363473918567883,0.0,5.0,5.0,1.2154048120192282,8.15242011498257,18.863141055205997,8.029333394616257
2017-09-20,53.929367290544,79.67294048219489,38.5,110.0,81.2,36.84138194967796,44.02860101253055,35.476589684303626,68.60194332292178
2017-09-21,4.2,0.8,0.0,0.0,90.5,24.589772334584147,3.6,0.0,0.0
2017-09-22,5.6,0.4,0.0,1.0,0.0,0.725,2.6,0.6,2.8
2017-09-23,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
2017-09-24,3.0,2.2,6.0,0.0,0.0,0.0,8.6,1.0,6.4
2017-09-25,0.0,0.8,0.0,2.2,0.0,2.7369295143064325,0.0,8.4,2.8
2017-09-26,5.577648494368825,5.233549379528364,46.0,0.0,1.0,3.190425597110112,1.5807884051489465,1.694255161490725,1.7578526920005664
2017-09-27,3.9226005975163347,6.4926067128625915,0.0,24.0,18.5,23.589381186512718,8.151164126709006,19.963726915989643,22.04880469740669
2017-09-28,0.0,4.1,0.0,0.0,0.0,4.2,0.0,2.0,0.0
2017-09-29,9.549563667076,18.645537939192753,2.0,8.0,12.5,39.51730288453221,5.141398473976646,16.813984151738392,28.41225226610697
2017-09-30,0.0,4.1,0.0,0.0,0.0,4.2,0.0,2.0,0.0
2017-10-01,36.1834562043487,35.725090138567104,25.0,34.0,31.0,33.85447251688918,49.868850853134965,24.454053251742998,44.27281319994418
2017-10-02,0.0,3.0,5.0,1.0,1.0,2.593351100216304,3.0,0.6666666666666666,9.0
2017-10-03,4.0,0.0,9.0,0.0,0.0,0.0,0.0,7.5,0.0
2017-10-04,0.7824309974820614,6.4524939035642275,0.0,9.0,9.0,32.80916890494555,7.337476336312484,10.829449725024828,6.960510995896221
2017-10-05,13.16258893815546,10.00449378882166,31.0,1.0,2.0,4.525709156026099,25.87514557438344,1.695690347805684,12.115059305275247
2017-10-06,5.371765296950649,5.723204372840787,20.0,5.0,2.0,17.598177228176674,11.688112464377369,8.07808626942287,8.242545111933197
2017-10-07,3.0,0.0,0.0,32.0,5.0,6.559148405277059,0.0,32.0,5.0
2017-10-08,27.054662566312857,21.308469072941293,0.0,34.0,31.0,27.766607914742714,27.89373587160125,27.715473231637148,38.48623586644887
2017-10-09,31.78829801813883,26.671650941414107,24.0,47.0,31.0,37.06535500416423,19.078454327236734,37.60304123752638,46.98069580418355
2017-10-10,110.76625916937226,102.03306942499037,78.0,152.0,158.0,72.65629793866366,80.84788543222467,117.11957282425021,60.42868435119285
2017-10-11,33.61906916543572,36.435314028815824,52.0,22.0,22.0,67.17801177447774,20.420331191732483,18.529326968295425,10.815654614340973
2017-10-12,0.6281431233928416,11.52754827534436,2.0,35.0,4.0,9.83231729735544,6.4546730952828515,10.839183340580297,7.600957024078148
2017-10-13,0.0,4.1,0.0,0.0,0.0,4.2,0.0,2.0,0.0
2017-10-14,0.0,4.1,0.0,0.0,0.0,4.2,0.0,2.0,0.0
2017-10-15,21.70678209542435,23.19883524031106,57.0,44.0,0.0,17.88520842125858,16.542722033472444,33.16246203645268,40.89882295292652
2017-10-16,4.2,0.8,0.0,0.0,39.0,10.581509340969319,3.6,0.0,3.0
2017-10-17,0.0,4.1,0.0,0.0,0.0,4.2,0.0,2.0,0.0
2017-10-18,0.0,4.1,0.0,0.0,0.0,4.2,0.0,2.0,0.0
2017-10-19,0.0,4.1,0.0,0.0,0.0,4.2,0.0,2.0,0.0
2017-10-20,0.0,4.1,0.0,0.0,0.0,4.2,0.0,2.0,0.0
2017-10-21,0.0,4.1,0.0,0.0,0.0,4.2,0.0,2.0,0.0
2017-10-22,0.0,4.1,0.0,0.0,0.0,4.2,0.0,2.0,0.0
2017-10-23,0.0,4.1,0.0,0.0,0.0,4.2,0.0,2.0,0.0
2017-10-24,0.0,4.1,0.0,0.0,0.0,4.2,0.0,2.0,0.0
2017-10-25,0.0,4.1,0.0,0.0,0.0,4.2,0.0,2.0,0.0
2017-10-26,0.0,4.1,0.0,0.0,0.0,4.2,0.0,2.0,0.0
2017-10-27,0.0,4.1,0.0,0.0,0.0,4.2,0.0,2.0,0.0
2017-10-28,0.0,4.1,0.0,0.0,0.0,4.2,0.0,2.0,0.0
2017-10-29,4.287330898743886,7.754895154952005,20.0,7.0,0.0,16.97480535630001,11.272985966720904,8.290226504137944,11.81845893729497
2017-10-30,17.36812254611728,8.875034594894819,5.0,16.0,17.0,20.12402357187764,11.6187477560072,24.789829489851225,16.854217746551917
2017-10-31,2.6209720834602943,14.327595438299445,1.0,14.0,13.0,13.626076712217458,19.336917489912747,15.977020786743545,29.697438374968574
2017-11-01,5.6,0.4,0.0,1.0,0.0,0.725,2.6,0.6,2.8
2017-11-02,18.40439645647444,30.473349673135306,33.0,19.0,25.0,43.96956304904315,23.849481408206675,15.514941383283952,22.52484398125404
2017-11-03,32.105293899496324,37.03653205648761,44.0,47.0,36.0,32.99467446203282,40.06147790847653,26.40384227591956,46.01602248424996
2017-11-04,18.3735244302969,27.315987037802092,6.0,14.0,29.0,35.088379496671834,37.6956479220697,22.72589103423523,26.513043289628026
2017-11-05,2.6338184342847737,4.6459656562662115,5.0,4.0,4.0,6.777714354161082,8.197167058708658,2.9363057188060484,7.277505215438313
